datetime,CallLTP,Strikes,expiry_date,100sma,26sma,signal
2019-01-01 14:15:00,280.05,10700.0,2019-01-31,300.95099999999996,286.6403846153846,0
2019-01-01 14:20:00,285.5,10700.0,2019-01-31,300.95099999999996,286.3692307692308,0
2019-01-01 14:25:00,285.95,10700.0,2019-01-31,300.95099999999996,286.10769230769233,0
2019-01-01 14:30:00,305.75,10700.0,2019-01-31,300.95099999999996,286.6269230769231,0
2019-01-01 14:35:00,320.85,10700.0,2019-01-31,300.95099999999996,287.75576923076926,0
2019-01-01 14:40:00,329.05,10700.0,2019-01-31,300.95099999999996,289.3346153846154,0
2019-01-01 14:45:00,330.0,10700.0,2019-01-31,300.95099999999996,291.0307692307692,0
2019-01-01 14:50:00,338.0,10700.0,2019-01-31,300.95099999999996,292.99423076923074,0
2019-01-01 14:55:00,335.0,10700.0,2019-01-31,300.95099999999996,294.8576923076923,0
2019-01-01 15:00:00,341.95,10700.0,2019-01-31,300.95099999999996,297.08076923076925,0
2019-01-01 15:05:00,347.9,10700.0,2019-01-31,300.95099999999996,299.4576923076923,0
2019-01-01 15:10:00,346.0,10700.0,2019-01-31,300.95099999999996,301.8057692307692,0
2019-01-01 15:15:00,343.7,10700.0,2019-01-31,300.95099999999996,303.96730769230766,0
2019-01-01 15:20:00,347.2,10700.0,2019-01-31,300.95099999999996,306.1480769230769,0
2019-01-01 15:25:00,348.05,10700.0,2019-01-31,300.95099999999996,308.26730769230767,0
2019-01-01 15:30:00,347.5,10700.0,2019-01-31,300.95099999999996,310.53076923076924,0
2019-01-02 09:20:00,309.8,10700.0,2019-01-31,300.95099999999996,311.36538461538464,0
2019-01-02 09:25:00,313.8,10700.0,2019-01-31,300.95099999999996,312.25961538461536,0
2019-01-02 09:30:00,306.25,10700.0,2019-01-31,300.95099999999996,313.16346153846155,0
2019-01-02 09:35:00,292.55,10700.0,2019-01-31,300.95099999999996,313.5903846153846,1
2019-01-02 09:40:00,288.3,10700.0,2019-01-31,300.95099999999996,313.96923076923076,0
2019-01-02 09:45:00,296.05,10700.0,2019-01-31,300.95099999999996,314.4307692307692,0
2019-01-02 09:50:00,303.8,10700.0,2019-01-31,300.95099999999996,315.2576923076923,0
2019-01-02 09:55:00,307.3,10700.0,2019-01-31,300.95099999999996,316.15384615384613,0
2019-01-02 10:00:00,311.05,10700.0,2019-01-31,300.95099999999996,317.1480769230769,0
2019-01-02 10:05:00,310.3,10700.0,2019-01-31,300.95099999999996,318.1403846153846,0
2019-01-02 10:10:00,308.75,10700.0,2019-01-31,300.95099999999996,319.2442307692308,0
2019-01-02 10:15:00,310.3,10700.0,2019-01-31,300.95099999999996,320.1980769230769,0
2019-01-02 10:20:00,325.6,10700.0,2019-01-31,300.95099999999996,321.7230769230769,0
2019-01-02 10:25:00,320.95,10700.0,2019-01-31,300.95099999999996,322.3076923076923,0
2019-01-02 10:30:00,323.0,10700.0,2019-01-31,300.95099999999996,322.3903846153846,0
2019-01-02 10:35:00,321.0,10700.0,2019-01-31,300.95099999999996,322.08076923076925,0
2019-01-02 10:40:00,314.75,10700.0,2019-01-31,300.95099999999996,321.4942307692308,0
2019-01-02 10:45:00,319.3,10700.0,2019-01-31,300.95099999999996,320.775,0
2019-01-02 10:50:00,324.75,10700.0,2019-01-31,300.95099999999996,320.3807692307692,0
2019-01-02 10:55:00,322.1,10700.0,2019-01-31,300.95099999999996,319.6173076923077,0
2019-01-02 11:00:00,324.8,10700.0,2019-01-31,300.95099999999996,318.7288461538462,0
2019-01-02 11:05:00,322.9,10700.0,2019-01-31,300.95099999999996,317.8403846153846,0
2019-01-02 11:10:00,320.4,10700.0,2019-01-31,300.95099999999996,316.9442307692308,0
2019-01-02 11:15:00,320.0,10700.0,2019-01-31,300.95099999999996,315.8980769230769,0
2019-01-02 11:20:00,321.1,10700.0,2019-01-31,300.95099999999996,314.8615384615385,0
2019-01-02 11:25:00,322.0,10700.0,2019-01-31,301.18149999999997,313.88076923076926,0
2019-01-02 11:30:00,322.7,10700.0,2019-01-31,301.448,314.3769230769231,0
2019-01-02 11:35:00,320.45,10700.0,2019-01-31,301.645,314.6326923076923,0
2019-01-02 11:40:00,323.55,10700.0,2019-01-31,301.9575,315.2980769230769,0
2019-01-02 11:45:00,320.55,10700.0,2019-01-31,302.2205,316.375,0
2019-01-02 11:50:00,315.65,10700.0,2019-01-31,302.387,317.4269230769231,0
2019-01-02 11:55:00,315.0,10700.0,2019-01-31,302.597,318.1557692307693,0
2019-01-02 12:00:00,316.75,10700.0,2019-01-31,302.914,318.65384615384613,0
2019-01-02 12:05:00,309.2,10700.0,2019-01-31,303.2375,318.7269230769231,0
2019-01-02 12:10:00,314.0,10700.0,2019-01-31,303.5625,318.8403846153846,0
2019-01-02 12:15:00,313.45,10700.0,2019-01-31,303.895,318.96153846153845,0
2019-01-02 12:20:00,309.1,10700.0,2019-01-31,304.1865,318.975,0
2019-01-02 12:25:00,298.5,10700.0,2019-01-31,304.32,318.5211538461539,1
2019-01-02 12:30:00,285.3,10700.0,2019-01-31,304.363,316.97115384615387,0
2019-01-02 12:35:00,286.5,10700.0,2019-01-31,304.3385,315.6461538461538,0
2019-01-02 12:40:00,287.5,10700.0,2019-01-31,304.33349999999996,314.28076923076924,0
