Date,Open,High,Low,Close,Tick Volume,Volume,Spread
2021.10.01 09:15,2.85,3.25,2.8,2.9,26350,668900,0
2021.10.01 09:16,2.85,2.95,2.85,2.95,57950,668900,0
2021.10.01 09:17,2.9,2.95,2.6,2.7,65400,684150,0
2021.10.01 09:18,2.75,2.85,2.7,2.75,60400,684150,0
2021.10.01 09:19,2.8,2.85,2.7,2.8,72300,684150,0
2021.10.01 09:20,2.8,2.85,2.75,2.75,37650,727700,0
2021.10.01 09:21,2.8,2.8,2.7,2.7,12200,727700,0
2021.10.01 09:22,2.75,2.75,2.65,2.65,8000,727700,0
2021.10.01 09:23,2.65,2.75,2.65,2.75,22550,727500,0
2021.10.01 09:24,2.75,2.8,2.7,2.75,27600,727500,0
2021.10.01 09:25,2.75,2.75,2.65,2.65,12400,727500,0
2021.10.01 09:26,2.65,2.7,2.6,2.6,9600,730200,0
2021.10.01 09:27,2.6,2.6,2.55,2.6,12350,730200,0
2021.10.01 09:28,2.6,2.6,2.55,2.55,14300,730200,0
2021.10.01 09:29,2.55,2.6,2.55,2.55,16600,741550,0
2021.10.01 09:30,2.55,2.7,2.55,2.7,37750,741550,0
2021.10.01 09:31,2.7,2.7,2.65,2.65,1550,741550,0
2021.10.01 09:32,2.65,2.65,2.6,2.6,9200,768800,0
2021.10.01 09:33,2.6,2.6,2.45,2.45,15500,768800,0
2021.10.01 09:34,2.5,2.55,2.45,2.45,11550,768800,0
2021.10.01 09:35,2.45,2.45,2.4,2.4,8600,777100,0
2021.10.01 09:36,2.4,2.4,2.4,2.4,8150,777100,0
2021.10.01 09:37,2.35,2.45,2.35,2.45,12250,777100,0
2021.10.01 09:38,2.45,2.45,2.4,2.45,2750,773850,0
2021.10.01 09:39,2.45,2.45,2.3,2.3,7050,773850,0
2021.10.01 09:40,2.3,2.35,2.3,2.3,14600,773850,0
2021.10.01 09:41,2.3,2.3,2.25,2.3,11750,780600,0
2021.10.01 09:42,2.3,2.35,2.3,2.3,6400,780600,0
2021.10.01 09:43,2.3,2.35,2.3,2.3,5200,780600,0
2021.10.01 09:44,2.3,2.3,2.25,2.25,9200,773350,0
2021.10.01 09:45,2.25,2.25,2.2,2.25,1350,773350,0
2021.10.01 09:46,2.2,2.3,2.2,2.3,4800,773350,0
2021.10.01 09:47,2.3,2.3,2.3,2.3,10950,768050,0
2021.10.01 09:48,2.3,2.35,2.3,2.35,5750,768050,0
2021.10.01 09:49,2.35,2.35,2.3,2.3,1900,768050,0
2021.10.01 09:50,2.3,2.35,2.3,2.3,8900,760900,0
2021.10.01 09:51,2.3,2.35,2.3,2.35,14450,760900,0
2021.10.01 09:52,2.35,2.4,2.3,2.3,17500,760900,0
2021.10.01 09:53,2.3,2.3,2.2,2.2,7900,761450,0
2021.10.01 09:54,2.2,2.3,2.2,2.3,9600,761450,0
2021.10.01 09:55,2.3,2.35,2.3,2.3,8000,761450,0
2021.10.01 09:56,2.3,2.35,2.3,2.3,2600,758950,0
2021.10.01 09:57,2.3,2.3,2.25,2.3,19750,758950,0
2021.10.01 09:58,2.3,2.3,2.3,2.3,16000,758950,0
2021.10.01 09:59,2.25,2.25,2.2,2.2,9150,744300,0
2021.10.01 10:00,2.2,2.4,2.2,2.35,28000,744300,0
2021.10.01 10:01,2.3,2.4,2.3,2.35,5850,744300,0
2021.10.01 10:02,2.35,2.35,2.25,2.35,17300,726900,0
2021.10.01 10:03,2.35,2.35,2.3,2.3,1200,726900,0
2021.10.01 10:04,2.3,2.3,2.2,2.25,12150,726900,0
2021.10.01 10:05,2.25,2.3,2.2,2.2,16100,712450,0
2021.10.01 10:06,2.2,2.25,2.15,2.25,20600,712450,0
2021.10.01 10:07,2.25,2.25,2.2,2.2,13400,712450,0
2021.10.01 10:08,2.2,2.25,2.2,2.25,10800,712450,0
2021.10.01 10:10,2.25,2.3,2.2,2.25,26950,684000,0
2021.10.01 10:11,2.3,2.3,2.3,2.3,300,684850,0
2021.10.01 10:12,2.25,2.25,2.2,2.25,20250,684850,0
2021.10.01 10:13,2.25,2.25,2.2,2.25,16100,684850,0
2021.10.01 10:14,2.25,2.25,2.2,2.2,5500,682550,0
2021.10.01 10:15,2.2,2.25,2.2,2.25,9450,682550,0
2021.10.01 10:16,2.2,2.25,2.2,2.25,3400,682550,0
2021.10.01 10:17,2.25,2.25,2.2,2.25,4850,683200,0
2021.10.01 10:18,2.3,2.3,2.25,2.25,1200,683200,0
2021.10.01 10:19,2.25,2.25,2.25,2.25,50,683200,0
2021.10.01 10:20,2.3,2.3,2.3,2.3,7200,684500,0
2021.10.01 10:21,2.3,2.3,2.25,2.3,7600,684500,0
2021.10.01 10:22,2.3,2.3,2.25,2.25,1200,691000,0
2021.10.01 10:23,2.25,2.25,2.25,2.25,50,691000,0
2021.10.01 10:24,2.25,2.3,2.25,2.3,6200,691000,0
2021.10.01 10:25,2.3,2.3,2.25,2.3,750,691000,0
2021.10.01 10:26,2.3,2.35,2.3,2.35,15300,706950,0
2021.10.01 10:27,2.35,2.35,2.3,2.35,150,706950,0
2021.10.01 10:28,2.35,2.35,2.3,2.3,9500,706950,0
2021.10.01 10:29,2.35,2.35,2.25,2.25,9400,700100,0
2021.10.01 10:30,2.25,2.25,2.25,2.25,250,700100,0
