Date,Open,High,Low,Close,Tick Volume,Volume,Spread
2021.10.01 09:15,23.95,40.6,23.95,40.55,220000,1466250,0
2021.10.01 09:16,40.7,42.7,36.85,37.65,179650,1466250,0
2021.10.01 09:17,37.5,39.3,37.05,38.75,137350,1533750,0
2021.10.01 09:18,39.05,40.2,36.25,36.35,143000,1533750,0
2021.10.01 09:19,36.4,39.6,36.35,37.75,111300,1533750,0
2021.10.01 09:20,38.05,40.0,38.05,38.9,109900,1630850,0
2021.10.01 09:21,38.25,40.0,38.25,39.7,114850,1630850,0
2021.10.01 09:22,39.85,40.0,34.5,34.5,179600,1630850,0
2021.10.01 09:23,34.45,36.55,34.15,35.0,174900,1745000,0
2021.10.01 09:24,35.0,36.0,32.35,32.35,134500,1745000,0
2021.10.01 09:25,32.55,35.0,31.65,34.05,163000,1745000,0
2021.10.01 09:26,34.15,34.15,32.15,32.4,113350,1747650,0
2021.10.01 09:27,32.5,34.05,32.15,32.15,70250,1747650,0
2021.10.01 09:28,32.25,34.0,31.6,34.0,69400,1747650,0
2021.10.01 09:29,34.0,35.0,32.55,32.75,79050,1754400,0
2021.10.01 09:30,32.9,34.0,32.15,32.65,72650,1754400,0
2021.10.01 09:31,32.55,33.0,30.55,30.55,67450,1754400,0
2021.10.01 09:32,30.65,31.0,29.15,29.95,108650,1787750,0
2021.10.01 09:33,29.8,32.0,29.7,30.55,84600,1787750,0
2021.10.01 09:34,30.5,31.1,29.35,29.95,63450,1787750,0
2021.10.01 09:35,30.05,31.9,30.05,31.35,61850,1818300,0
2021.10.01 09:36,31.3,32.65,30.3,32.5,71350,1818300,0
2021.10.01 09:37,32.5,32.5,29.95,30.2,83400,1818300,0
2021.10.01 09:38,30.45,30.9,29.75,30.25,52350,1879000,0
2021.10.01 09:39,30.4,30.65,29.4,29.85,58700,1879000,0
2021.10.01 09:40,29.95,29.95,29.0,29.2,56200,1879000,0
2021.10.01 09:41,29.1,29.3,28.15,28.5,52200,1920200,0
2021.10.01 09:42,28.55,28.55,27.0,27.0,64100,1920200,0
2021.10.01 09:43,27.0,27.7,26.8,27.05,56350,1920200,0
2021.10.01 09:44,26.9,27.65,26.8,27.65,64050,1892700,0
2021.10.01 09:45,27.7,28.95,27.5,28.95,67700,1892700,0
2021.10.01 09:46,29.0,30.95,29.0,30.95,79850,1892700,0
2021.10.01 09:47,30.95,31.8,30.3,31.2,61100,1930550,0
2021.10.01 09:48,31.15,31.5,30.35,31.45,58500,1930550,0
2021.10.01 09:49,31.4,31.85,30.5,31.35,53300,1930550,0
2021.10.01 09:50,31.2,34.0,31.2,33.9,109800,1949300,0
2021.10.01 09:51,34.1,35.6,34.0,35.55,142700,1949300,0
2021.10.01 09:52,35.5,35.8,33.65,34.6,150800,1949300,0
2021.10.01 09:53,34.6,35.35,33.7,34.75,65650,1988100,0
2021.10.01 09:54,34.7,36.6,34.7,34.8,129200,1988100,0
2021.10.01 09:55,34.8,35.95,34.0,34.5,138900,1988100,0
2021.10.01 09:56,34.4,34.65,31.3,33.0,124950,2045350,0
2021.10.01 09:57,33.2,33.85,32.35,33.65,55700,2045350,0
2021.10.01 09:58,33.8,34.4,31.7,32.1,91600,2045350,0
2021.10.01 09:59,32.1,33.5,32.1,33.1,81300,2065300,0
2021.10.01 10:00,33.15,33.8,32.0,32.1,59400,2065300,0
2021.10.01 10:01,32.05,32.15,30.85,31.55,92450,2065300,0
2021.10.01 10:02,31.5,32.0,31.0,31.25,44700,2094050,0
2021.10.01 10:03,31.0,32.55,30.95,31.6,77650,2094050,0
2021.10.01 10:04,31.45,32.1,30.35,30.65,67100,2094050,0
2021.10.01 10:05,30.6,30.6,28.4,28.5,81450,2122500,0
2021.10.01 10:06,28.35,30.0,28.2,29.75,46700,2122500,0
