Date,Open,High,Low,Close,Tick Volume,Volume,Spread
2021.10.01 09:15,5014.45,5014.45,5000.9,5005.15,1,0,0
2021.10.01 09:16,5005.5,5013.75,5002.6,5010.65,1,0,0
2021.10.01 09:17,5013.15,5013.2,5007.15,5012.55,1,0,0
2021.10.01 09:18,5012.3,5020.6,5011.8,5015.35,1,0,0
2021.10.01 09:19,5015.35,5015.8,5007.1,5014.4,1,0,0
2021.10.01 09:20,5015.1,5015.1,5004.95,5005.9,1,0,0
2021.10.01 09:21,5005.8,5008.2,5004.05,5005.0,1,0,0
2021.10.01 09:22,5005.1,5013.65,5003.35,5013.2,1,0,0
2021.10.01 09:23,5014.9,5015.5,5008.3,5013.65,1,0,0
2021.10.01 09:24,5014.5,5020.85,5012.3,5020.05,1,0,0
2021.10.01 09:25,5019.6,5021.5,5014.4,5015.55,1,0,0
2021.10.01 09:26,5015.7,5019.85,5015.05,5018.35,1,0,0
2021.10.01 09:27,5017.9,5023.85,5017.35,5023.85,1,0,0
2021.10.01 09:28,5023.9,5028.05,5020.7,5021.4,1,0,0
2021.10.01 09:29,5020.85,5025.6,5018.15,5025.6,1,0,0
2021.10.01 09:30,5026.15,5026.7,5022.4,5022.9,1,0,0
2021.10.01 09:31,5023.05,5024.3,5019.25,5024.3,1,0,0
2021.10.01 09:32,5024.15,5030.55,5023.45,5029.0,1,0,0
2021.10.01 09:33,5028.75,5033.0,5025.05,5033.0,1,0,0
2021.10.01 09:34,5033.05,5039.2,5031.3,5037.3,1,0,0
2021.10.01 09:35,5036.9,5036.9,5030.45,5032.45,1,0,0
2021.10.01 09:36,5032.65,5035.55,5029.65,5031.05,1,0,0
2021.10.01 09:37,5031.05,5036.95,5031.05,5034.3,1,0,0
2021.10.01 09:38,5034.1,5034.95,5028.1,5029.95,1,0,0
2021.10.01 09:39,5029.75,5033.25,5028.4,5030.3,1,0,0
2021.10.01 09:40,5030.05,5031.4,5027.65,5028.3,1,0,0
2021.10.01 09:41,5027.75,5029.25,5024.2,5025.95,1,0,0
2021.10.01 09:42,5026.2,5028.65,5025.25,5028.15,1,0,0
2021.10.01 09:43,5028.3,5028.3,5022.9,5023.75,1,0,0
2021.10.01 09:44,5023.5,5024.8,5020.7,5021.3,1,0,0
2021.10.01 09:45,5021.6,5021.6,5014.9,5014.9,1,0,0
2021.10.01 09:46,5015.6,5015.6,5011.4,5012.25,1,0,0
2021.10.01 09:47,5012.1,5015.95,5011.1,5014.7,1,0,0
2021.10.01 09:48,5014.0,5016.4,5013.25,5016.0,1,0,0
2021.10.01 09:49,5015.75,5016.9,5014.0,5014.5,1,0,0
