,index,Start,End,TotalTrades,Winers,Loosers,MaxProfit,MaxLoss,WinRatio,ProfitLossRatio,TotalProfitPoints,TotalProfitsRs,trend
0,0,2021-10-01,2021-10-07,17,11,6,71.65,-14.900000000000006,64.70588235294117,3.4216058077798235,221.19999999999993,11060.0,11060.0
1,0,2021-07-02,2021-07-08,16,8,8,45.9,-12.550000000000011,50.0,4.418410041841005,122.55000000000001,6127.5,17187.5
2,0,2021-09-03,2021-09-09,25,12,13,39.0,-18.200000000000003,48.0,1.7915850473392108,66.75000000000003,3337.5,20525.0
3,0,2021-12-03,2021-12-09,14,10,4,66.35,-14.25,71.42857142857143,4.718146718146718,279.5999999999999,13980.0,34505.0
4,0,2021-06-04,2021-06-10,22,14,8,48.95,-15.499999999999986,63.63636363636363,1.8052743407074112,123.39999999999999,6170.0,40675.0
5,0,2021-02-05,2021-02-11,23,11,12,58.349999999999994,-26.05000000000001,47.82608695652174,1.8262506724045184,68.35,3417.5,44092.5
6,0,2022-02-04,2022-02-10,19,11,8,53.750000000000014,-21.350000000000023,57.89473684210527,1.5756987063446497,120.09999999999992,6005.0,50097.5
7,0,2021-11-08,2021-11-11,21,8,13,61.6,-17.900000000000006,38.095238095238095,2.428370786516853,48.39999999999996,2420.0,52517.5
8,0,2021-04-05,2021-04-08,15,8,7,61.900000000000006,-17.599999999999994,53.333333333333336,2.6599689165186486,114.84999999999994,5742.5,58260.0
9,0,2021-08-06,2021-08-12,15,10,5,42.55,-11.450000000000003,66.66666666666666,2.229289940828403,116.9,5845.0,64105.0
10,0,2021-05-07,2021-05-12,16,8,8,39.25,-9.150000000000006,50.0,4.115183246073299,119.00000000000003,5950.0,70055.0
11,0,2022-01-07,2022-01-13,20,13,7,36.79999999999998,-27.150000000000006,65.0,0.9690929671735807,62.499999999999915,3125.0,73180.0
12,0,2021-10-08,2021-10-14,17,12,5,26.10000000000001,-9.700000000000003,70.58823529411765,2.255116959064327,100.59999999999997,5030.0,78210.0
13,0,2021-01-08,2021-01-14,19,13,6,49.7,-13.950000000000003,68.42105263157895,2.398167589234587,169.10000000000002,8455.0,86665.0
14,0,2021-07-09,2021-07-15,21,11,10,35.5,-18.05000000000001,52.38095238095239,0.964258770275368,5.850000000000012,292.5,86957.5
15,0,2021-09-03,2021-09-16,41,22,19,50.00000000000001,-18.200000000000003,53.65853658536586,2.327276613937581,198.20000000000005,9910.0,96867.5
16,0,2021-04-09,2021-04-15,15,10,5,57.5,-13.800000000000011,66.66666666666666,2.714484679665739,159.0,7950.0,104817.5
17,0,2021-12-10,2021-12-16,22,12,10,43.0,-15.25,54.54545454545454,2.569686411149827,149.5,7475.0,112292.5
