,index,Start,End,TotalTrades,Winers,Loosers,MaxProfit,MaxLoss,WinRatio,ProfitLossRatio,TotalProfitPoints,TotalProfitsRs,trend
0,0,2021-10-01,2021-10-07,20,13,7,91.65,-14.849999999999994,65.0,2.3121549050752592,167.5,8375.0,8375.0
1,0,2021-07-02,2021-07-08,18,14,4,66.75,-5.799999999999997,77.77777777777779,4.7693259121830565,181.25,9062.5,17437.5
2,0,2021-09-03,2021-09-09,18,10,8,45.95000000000002,-14.649999999999991,55.55555555555556,1.4685534591194969,53.15000000000001,2657.5,20095.0
3,0,2021-12-03,2021-12-09,10,8,2,92.55000000000001,-11.700000000000003,80.0,4.125373134328358,259.65,12982.5,33077.5
4,0,2021-06-04,2021-06-10,20,10,10,82.55000000000001,-9.649999999999999,50.0,4.017130620985011,140.89999999999998,7045.0,40122.5
5,0,2021-02-05,2021-02-11,15,6,9,92.05,-17.25,40.0,2.577528770442157,59.30000000000005,2965.0,43087.5
6,0,2022-02-04,2022-02-10,19,10,9,61.04999999999998,-15.699999999999989,52.63157894736842,2.2295037389530923,108.64999999999995,5432.5,48520.0
7,0,2021-11-08,2021-11-11,14,5,9,119.54999999999998,-22.950000000000003,35.714285714285715,4.091335504885994,97.7,4885.0,53405.0
8,0,2021-04-05,2021-04-08,17,8,9,71.44999999999999,-21.349999999999994,47.05882352941176,1.8273666866387055,52.09999999999997,2605.0,56010.0
9,0,2021-08-06,2021-08-12,20,10,10,67.2,-12.5,50.0,2.0308166409861323,66.9,3345.0,59355.0
10,0,2021-05-07,2021-05-12,16,8,8,36.79999999999998,-10.899999999999991,50.0,2.363402061855669,52.89999999999995,2645.0,62000.0
11,0,2022-01-07,2022-01-13,16,11,5,36.85000000000002,-18.150000000000006,68.75,0.8338557993730413,48.400000000000055,2420.0,64420.0
12,0,2021-10-08,2021-10-14,19,8,11,16.75,-11.850000000000009,42.10526315789473,1.1516879562043791,-13.350000000000009,-667.5,63752.5
13,0,2021-01-08,2021-01-14,15,11,4,38.75,-15.600000000000009,73.33333333333333,1.8777833584463417,113.05,5652.5,69405.0
14,0,2021-07-09,2021-07-15,17,10,7,45.0,-19.049999999999997,58.82352941176471,1.1333333333333333,42.900000000000006,2145.0,71550.0
15,0,2021-09-03,2021-09-16,30,17,13,45.95000000000002,-14.649999999999991,56.666666666666664,1.9585601404741009,130.75000000000006,6537.5,78087.5
16,0,2021-04-09,2021-04-15,14,6,8,73.35000000000002,-18.049999999999983,42.857142857142854,2.5702459215972744,63.500000000000036,3175.0,81262.5
17,0,2021-12-10,2021-12-16,24,13,11,39.75,-22.55000000000001,54.166666666666664,1.302319421847213,54.79999999999997,2740.0,84002.5
