Date,Open,High,Low,Close,Tick Volume,Volume,Spread
2021.10.01 09:15,29.65,29.75,15.8,23.95,825,650,0
2021.10.01 09:16,23.95,23.95,12.15,14.0,1900,650,0
2021.10.01 09:17,14.0,14.65,13.6,14.55,2350,2350,0
2021.10.01 09:18,14.55,14.55,12.8,14.0,500,2350,0
2021.10.01 09:19,14.6,14.85,14.0,14.75,500,2350,0
2021.10.01 09:20,14.9,14.9,14.0,14.0,1625,4150,0
2021.10.01 09:21,13.85,13.95,12.65,13.45,350,4150,0
2021.10.01 09:22,13.45,13.45,12.9,12.9,1400,4150,0
2021.10.01 09:23,12.9,13.0,12.6,12.75,1325,5550,0
2021.10.01 09:24,12.85,13.15,12.8,13.15,1900,5550,0
2021.10.01 09:25,12.95,13.1,12.7,12.9,1575,5550,0
2021.10.01 09:26,12.85,13.45,12.75,13.35,3825,7925,0
2021.10.01 09:27,13.2,13.6,12.9,13.25,1700,7925,0
2021.10.01 09:28,13.25,13.25,12.9,13.15,2625,7925,0
2021.10.01 09:29,13.25,13.25,12.4,12.5,4400,12525,0
2021.10.01 09:30,12.5,12.75,12.1,12.1,700,12525,0
2021.10.01 09:31,12.1,12.55,11.85,11.85,1175,12525,0
2021.10.01 09:32,11.85,12.1,11.1,11.2,4675,14700,0
2021.10.01 09:33,11.2,11.55,11.1,11.1,4100,14700,0
2021.10.01 09:34,11.1,11.45,11.1,11.45,300,14700,0
2021.10.01 09:35,11.4,12.0,11.4,12.0,400,15025,0
2021.10.01 09:36,11.9,12.0,11.6,12.0,325,15025,0
2021.10.01 09:37,12.0,12.0,11.8,11.8,500,15025,0
2021.10.01 09:38,11.8,11.85,10.9,11.25,4550,15650,0
2021.10.01 09:39,11.45,11.45,10.95,11.4,750,15650,0
2021.10.01 09:40,11.1,11.2,10.9,11.0,1225,15650,0
2021.10.01 09:41,10.85,10.95,10.7,10.95,1750,18350,0
2021.10.01 09:42,10.95,11.0,10.45,10.6,1275,18350,0
2021.10.01 09:43,10.6,10.75,10.4,10.6,925,18350,0
2021.10.01 09:44,10.6,10.95,10.55,10.95,1550,18975,0
2021.10.01 09:45,10.95,11.25,10.95,11.25,375,18975,0
2021.10.01 09:46,11.15,11.15,10.9,10.9,300,18975,0
2021.10.01 09:47,11.1,11.25,11.1,11.15,575,19450,0
2021.10.01 09:48,11.1,11.3,11.1,11.3,550,19450,0
2021.10.01 09:49,11.2,11.35,11.2,11.3,300,19450,0
2021.10.01 09:50,11.3,11.65,11.3,11.6,550,19225,0
2021.10.01 09:51,11.65,12.15,11.5,12.15,900,19225,0
2021.10.01 09:52,12.15,12.3,11.85,12.2,1025,19225,0
2021.10.01 09:53,12.1,12.3,11.95,11.95,1800,18925,0
2021.10.01 09:54,12.15,12.15,11.7,11.95,325,18925,0
2021.10.01 09:55,11.95,11.95,11.95,11.95,100,18925,0
2021.10.01 09:56,11.9,12.0,11.9,12.0,275,18450,0
2021.10.01 09:57,12.25,12.25,11.9,11.9,475,18450,0
2021.10.01 09:58,11.95,12.1,11.85,12.0,575,18450,0
2021.10.01 09:59,11.95,11.95,11.65,11.9,600,19200,0
2021.10.01 10:00,11.75,11.95,11.6,11.6,375,19200,0
2021.10.01 10:01,11.45,11.75,11.35,11.35,575,19200,0
2021.10.01 10:02,11.2,11.25,11.2,11.25,75,19700,0
2021.10.01 10:03,11.3,11.45,11.25,11.45,300,19700,0
2021.10.01 10:04,11.6,11.6,11.25,11.25,25,19700,0
2021.10.01 10:05,11.25,11.25,10.55,10.65,800,20025,0
2021.10.01 10:06,10.7,10.7,10.35,10.35,250,20025,0
2021.10.01 10:07,10.35,10.65,10.35,10.45,750,20025,0
2021.10.01 10:08,10.45,10.55,10.3,10.5,1100,20600,0
2021.10.01 10:09,10.5,10.75,10.4,10.4,450,20600,0
2021.10.01 10:10,10.45,10.45,10.3,10.45,500,20600,0
2021.10.01 10:11,10.45,10.45,10.35,10.35,1000,20375,0
2021.10.01 10:12,10.4,10.65,10.3,10.65,300,20375,0
2021.10.01 10:13,10.65,11.1,10.65,11.1,275,20375,0
2021.10.01 10:14,10.75,10.95,10.65,10.7,350,20600,0
2021.10.01 10:15,10.9,10.9,10.35,10.5,1700,20600,0
2021.10.01 10:16,10.4,10.7,10.35,10.35,1800,20600,0
2021.10.01 10:17,10.15,10.15,9.75,9.75,1600,22175,0
2021.10.01 10:18,9.85,9.85,9.4,9.65,3625,22175,0
2021.10.01 10:19,9.65,10.0,9.35,10.0,4475,22175,0
2021.10.01 10:20,9.7,9.9,9.65,9.8,1325,23350,0
2021.10.01 10:21,9.85,9.85,9.5,9.7,3800,23350,0
2021.10.01 10:22,9.7,9.8,9.55,9.7,1000,23350,0
2021.10.01 10:23,9.55,9.65,9.4,9.4,650,22975,0
2021.10.01 10:24,9.5,9.5,9.35,9.35,225,22975,0
2021.10.01 10:25,9.25,9.35,9.15,9.15,250,22975,0
2021.10.01 10:26,9.15,9.35,9.1,9.35,300,22625,0
