Date,Open,High,Low,Close,Tick Volume,Volume,Spread
2021.10.01 09:15,1419.05,1419.05,1419.05,1419.05,25,75,0
2021.10.01 09:47,1547.3,1547.3,1547.3,1547.3,25,75,0
2021.10.01 09:48,1556.85,1556.85,1556.85,1556.85,25,75,0
2021.10.01 13:36,1594.2,1660.8,1594.2,1660.8,25,100,0
2021.10.01 13:41,1660.8,1660.8,1660.8,1660.8,25,100,0
2021.10.04 10:51,2118.2,2118.2,2030.35,2030.35,25,100,0
2021.10.04 10:58,2030.35,2044.95,2030.35,2044.95,25,75,0
2021.10.04 13:31,2044.95,2044.95,2044.95,2044.95,25,75,0
2021.10.04 13:33,1985.5,1985.5,1985.5,1985.5,25,75,0
2021.10.05 09:52,1856.2,1879.25,1856.2,1879.25,1250,1300,0
2021.10.05 09:55,1879.25,1888.75,1879.25,1888.75,100,1300,0
2021.10.05 14:37,2098.05,2098.05,2098.05,2098.05,250,1300,0
2021.10.05 14:39,2127.8,2127.8,2127.8,2127.8,175,1225,0
2021.10.07 10:17,2205.1,2205.1,2205.1,2205.1,25,1225,0
2021.10.07 10:18,2205.1,2205.1,2205.1,2205.1,25,1225,0
2021.10.07 11:54,2226.95,2264.6,2226.95,2264.6,50,1225,0
2021.10.07 14:17,2264.6,2264.6,2264.6,2264.6,25,1225,0
