Date,Open,High,Low,Close,Tick Volume,Volume,Spread
2021.10.01 09:17,13.0,13.0,13.0,13.0,75,0,0
2021.10.01 09:21,10.05,10.05,10.05,10.05,25,75,0
2021.10.01 09:22,13.45,13.45,11.05,11.05,100,75,0
2021.10.01 09:23,11.0,11.0,11.0,11.0,100,150,0
2021.10.01 09:24,9.9,9.9,9.9,9.9,75,150,0
2021.10.01 09:25,11.65,11.7,11.0,11.0,525,150,0
2021.10.01 09:26,11.0,12.5,11.0,12.4,1850,150,0
2021.10.01 09:28,12.0,12.0,11.45,11.45,50,2475,0
2021.10.01 09:29,11.45,11.45,10.35,10.5,450,2475,0
2021.10.01 09:30,10.45,10.95,10.35,10.75,300,2475,0
2021.10.01 09:31,10.3,10.85,9.35,10.25,1950,2475,0
2021.10.01 09:32,10.2,10.35,9.4,10.1,575,2650,0
2021.10.01 09:33,9.7,9.9,9.05,9.9,725,2650,0
2021.10.01 09:34,10.1,10.2,9.4,9.9,625,2650,0
2021.10.01 09:35,9.9,10.7,9.65,9.65,375,2650,0
2021.10.01 09:36,9.65,9.75,9.65,9.75,50,2650,0
2021.10.01 09:37,10.05,10.75,10.05,10.75,225,2650,0
2021.10.01 09:38,10.45,10.45,9.6,9.7,825,2775,0
2021.10.01 09:39,9.7,9.8,9.5,9.55,500,2775,0
2021.10.01 09:40,9.9,9.9,9.3,9.3,925,2775,0
2021.10.01 09:41,9.3,9.45,9.0,9.45,375,2600,0
2021.10.01 09:42,9.5,9.5,8.9,8.9,975,2600,0
2021.10.01 09:43,9.2,9.7,8.8,9.2,350,2600,0
2021.10.01 09:44,9.2,9.65,8.7,9.55,700,3000,0
2021.10.01 09:45,9.7,10.05,8.75,8.75,1275,3000,0
2021.10.01 09:46,8.75,9.2,8.75,9.2,125,3000,0
2021.10.01 09:47,9.35,9.85,9.05,9.05,400,2950,0
2021.10.01 09:48,9.05,9.4,8.95,9.4,225,2950,0
2021.10.01 09:49,9.1,9.4,9.05,9.35,275,2950,0
2021.10.01 09:50,9.4,9.4,8.9,9.4,850,3050,0
2021.10.01 09:51,9.4,9.75,9.2,9.5,675,3050,0
2021.10.01 09:52,9.9,10.3,9.75,9.75,175,3450,0
2021.10.01 09:53,9.75,9.85,9.0,9.0,125,3450,0
2021.10.01 09:54,9.55,9.55,9.55,9.55,200,3450,0
2021.10.01 09:55,9.25,9.6,9.25,9.6,100,3450,0
2021.10.01 09:56,9.6,9.6,9.55,9.55,25,3450,0
2021.10.01 09:57,9.85,9.85,9.55,9.55,150,3450,0
2021.10.01 09:58,9.55,10.05,9.55,9.95,150,3450,0
2021.10.01 09:59,9.95,9.95,9.8,9.85,150,3450,0
2021.10.01 10:01,9.05,9.05,9.05,9.05,25,3500,0
2021.10.01 10:02,9.0,9.75,9.0,9.75,75,3500,0
2021.10.01 10:03,9.75,9.85,9.35,9.85,425,3500,0
2021.10.01 10:04,9.85,9.85,9.85,9.85,100,3500,0
2021.10.01 10:05,9.15,9.15,8.5,8.9,75,3475,0
2021.10.01 10:06,8.9,9.55,8.5,8.5,225,3475,0
2021.10.01 10:07,8.95,8.95,8.35,8.35,500,3575,0
2021.10.01 10:09,8.35,8.35,8.35,8.35,25,3575,0
2021.10.01 10:10,8.25,8.65,8.25,8.35,150,3575,0
2021.10.01 10:11,9.2,9.2,8.75,8.75,275,3550,0
2021.10.01 10:12,8.3,9.05,8.3,9.05,25,3550,0
2021.10.01 10:13,9.05,9.05,9.05,9.05,25,3550,0
2021.10.01 10:14,8.6,8.6,8.45,8.45,425,3725,0
2021.10.01 10:15,8.4,8.4,8.4,8.4,100,3725,0
2021.10.01 10:16,8.4,8.4,8.35,8.35,25,3725,0
2021.10.01 10:17,8.35,8.35,7.95,8.0,175,4150,0
2021.10.01 10:18,7.95,7.95,7.95,7.95,25,4150,0
2021.10.01 10:19,8.0,8.0,7.9,7.9,425,4150,0
2021.10.01 10:20,7.9,7.9,7.9,7.9,75,4150,0
2021.10.01 10:22,8.3,8.3,7.9,7.9,75,4275,0
2021.10.01 10:23,7.85,8.2,7.8,7.8,100,4225,0
2021.10.01 10:24,7.7,8.1,7.7,7.85,100,4225,0
2021.10.01 10:25,8.25,8.25,8.25,8.25,25,4225,0
2021.10.01 10:26,7.55,7.55,7.55,7.55,100,4225,0
2021.10.01 10:27,7.65,7.65,7.65,7.65,25,4300,0
2021.10.01 10:28,7.9,7.9,7.55,7.6,200,4300,0
2021.10.01 10:29,7.55,7.85,7.55,7.55,225,4300,0
2021.10.01 10:33,8.0,8.0,8.0,8.0,75,4225,0
2021.10.01 10:34,8.15,8.2,8.15,8.2,125,4225,0
2021.10.01 10:35,8.05,8.05,8.05,8.05,100,4225,0
2021.10.01 10:36,7.8,8.45,7.8,8.45,275,4175,0
2021.10.01 10:38,8.45,8.45,8.45,8.45,25,4175,0
2021.10.01 10:41,7.8,7.8,7.8,7.8,25,4175,0
