,index,Start,End,TotalTrades,Winers,Loosers,MaxProfit,MaxLoss,WinRatio,ProfitLossRatio,TotalProfitPoints,TotalProfitsRs,trend
0,0,2021-10-01,2021-10-07,7,4,3,91.65,-7.349999999999994,57.14285714285714,7.426056338028175,158.0,7900.0,7900.0
1,0,2021-07-02,2021-07-08,6,4,2,71.4,-7.5,66.66666666666666,7.979651162790703,128.65,6432.5,14332.5
2,0,2021-09-03,2021-09-09,10,5,5,48.45000000000002,-10.950000000000003,50.0,3.508052708638361,85.65000000000002,4282.5,18615.0
3,0,2021-12-03,2021-12-09,6,6,0,104.29999999999998,0.0,100.0,48.925000000000004,293.55,14677.5,33292.5
4,0,2021-06-04,2021-06-10,10,8,2,37.19999999999999,-5.75,80.0,2.7051886792452815,104.09999999999997,5205.0,38497.5
5,0,2021-02-05,2021-02-11,8,6,2,92.05,-16.30000000000001,75.0,2.9025341130604274,131.8,6590.0,45087.5
6,0,2022-02-04,2022-02-10,9,6,3,87.5,-23.450000000000003,66.66666666666666,3.4286556603773573,248.35,12417.5,57505.0
7,0,2021-11-08,2021-11-11,8,4,4,64.9,-12.849999999999994,50.0,3.935914552736983,109.94999999999999,5497.5,63002.5
8,0,2021-04-05,2021-04-08,8,6,2,70.94999999999999,-7.5,75.0,5.746506986027942,135.6,6780.0,69782.5
9,0,2021-08-06,2021-08-12,6,6,0,51.45,0.0,100.0,24.28333333333333,145.7,7285.0,77067.5
10,0,2021-05-07,2021-05-12,4,2,2,27.5,-12.849999999999994,50.0,2.9372693726937285,26.250000000000014,1312.5,78380.0
11,0,2022-01-07,2022-01-13,10,5,5,27.450000000000017,-24.949999999999996,50.0,1.2987736900780376,13.399999999999991,670.0,79050.0
12,0,2021-10-08,2021-10-14,9,7,2,61.150000000000006,-19.700000000000003,77.77777777777779,1.611655492521918,128.54999999999998,6427.5,85477.5
13,0,2021-01-08,2021-01-14,8,5,3,79.25,-7.800000000000011,62.5,7.0145922746781,124.54999999999998,6227.5,91705.0
14,0,2021-07-09,2021-07-15,7,4,3,38.349999999999994,-21.0,57.14285714285714,2.770623742454727,66.94999999999999,3347.5,95052.5
15,0,2021-09-03,2021-09-16,16,9,7,75.50000000000001,-10.950000000000003,56.25,4.281395348837209,193.70000000000002,9685.0,104737.5
16,0,2021-04-09,2021-04-15,13,8,5,77.6,-26.89999999999999,61.53846153846154,1.6607354685646507,139.70000000000005,6985.0,111722.5
17,0,2021-12-10,2021-12-16,13,7,6,25.30000000000001,-30.35000000000001,53.84615384615385,0.62664227507068,-23.100000000000023,-1155.0,110567.5
18,0,2021-06-11,2021-06-17,10,7,3,37.95,-11.700000000000003,70.0,1.461825585341025,50.75,2537.5,113105.0
19,0,2021-02-12,2021-02-18,8,5,3,77.0,-14.450000000000003,62.5,2.4961602671118515,94.64999999999998,4732.5,117837.5
20,0,2021-11-12,2021-11-18,13,8,5,148.25,-26.699999999999996,61.53846153846154,3.190040650406504,252.40000000000003,12620.0,130457.5
21,0,2022-02-11,2022-02-17,12,8,4,296.70000000000005,-15.450000000000003,66.66666666666666,4.902137232845894,391.35,19567.5,150025.0
22,0,2021-03-12,2021-03-18,6,6,0,255.3,0.0,100.0,73.45833333333333,440.75,22037.5,172062.5
23,0,2021-05-14,2021-05-20,9,4,5,62.400000000000006,-17.80000000000001,44.44444444444444,3.6726457399103136,108.05000000000001,5402.5,177465.0
24,0,2021-01-15,2021-01-21,10,5,5,102.19999999999999,-19.44999999999999,50.0,5.668341708542715,232.25000000000003,11612.5,189077.5
25,0,2022-01-14,2022-01-20,11,9,2,105.95,-22.849999999999994,81.81818181818183,2.5903225806451613,330.34999999999997,16517.5,205595.0
26,0,2021-10-18,2021-10-21,12,6,6,67.30000000000001,-29.25,50.0,2.1815181518151814,89.49999999999997,4475.0,210070.0
27,0,2021-04-16,2021-04-22,9,4,5,27.549999999999997,-16.05000000000001,44.44444444444444,1.9138755980861242,22.199999999999996,1110.0,211180.0
28,0,2021-07-16,2021-07-22,6,5,1,49.05,-16.150000000000006,83.33333333333334,2.053869969040247,149.7,7485.0,218665.0
29,0,2021-12-17,2021-12-23,6,5,1,142.75,-17.25,83.33333333333334,3.1043478260869564,250.5,12525.0,231190.0
30,0,2021-03-18,2021-03-18,1,1,0,265.8,0.0,100.0,265.8,265.8,13290.0,244480.0
31,0,2021-05-28,2021-06-03,10,6,4,66.15,-18.049999999999997,60.0,1.7592592592592595,64.9,3245.0,247725.0
32,0,2021-06-25,2021-07-01,13,7,6,24.650000000000006,-8.749999999999993,53.84615384615385,2.426865671641792,61.350000000000016,3067.5,250792.5
33,0,2022-02-25,2022-03-03,4,3,1,166.75,-44.04999999999998,75.0,1.7945516458569812,193.10000000000002,9655.0,260447.5
34,0,2021-11-26,2021-12-02,9,7,2,110.30000000000001,-24.049999999999983,77.77777777777779,3.306193806193808,302.35,15117.5,275565.0
35,0,2021-02-26,2021-03-04,12,7,5,49.19999999999999,-25.19999999999999,58.333333333333336,1.4811738648947956,69.25000000000001,3462.5,279027.5
36,0,2021-03-25,2021-04-01,8,5,3,80.75,-28.200000000000017,62.5,3.5115879828326144,169.59999999999997,8480.0,287507.5
37,0,2021-08-27,2021-09-02,7,6,1,57.349999999999994,-30.299999999999997,85.71428571428571,1.1039603960396045,170.40000000000003,8520.0,296027.5
38,0,2022-01-28,2022-02-03,8,8,0,64.0,0.0,100.0,21.937500000000007,175.50000000000006,8775.0,304802.5
