,index,Start,End,TotalTrades,Winers,Loosers,MaxProfit,MaxLoss,WinRatio,ProfitLossRatio,TotalProfitPoints,TotalProfitsRs
0,0,2021-10-01,2021-10-07,13,8,5,91.65,-16.549999999999997,61.53846153846154,3.8650000000000015,226.8,11340.0
1,0,2021-07-02,2021-07-08,12,8,4,71.4,-7.5,66.66666666666666,5.795379537953799,160.45,8022.5
2,0,2021-09-03,2021-09-09,16,8,8,48.45000000000002,-16.549999999999997,50.0,2.262219286657859,95.55,4777.5
3,0,2021-12-03,2021-12-09,11,7,4,102.25,-15.75,63.63636363636363,4.101850481125093,298.1,14905.0
4,0,2021-06-04,2021-06-10,15,13,2,87.80000000000001,-5.75,86.66666666666667,3.6705370101596513,242.3,12115.0
5,0,2021-02-05,2021-02-11,11,8,3,92.05,-16.849999999999994,72.72727272727273,4.7226890756302575,206.95000000000002,10347.5
6,0,2022-02-04,2022-02-10,16,9,7,77.6,-23.450000000000003,56.25,2.6547981153456175,224.79999999999993,11240.0
7,0,2021-11-08,2021-11-11,11,5,6,61.89999999999998,-12.849999999999994,45.45454545454545,3.5024734982332153,108.59999999999997,5430.0
8,0,2021-04-05,2021-04-08,11,7,4,70.94999999999999,-15.900000000000006,63.63636363636363,3.3106044760510347,163.7,8185.0
9,0,2021-08-06,2021-08-12,11,8,3,51.45,-5.5,72.72727272727273,6.712499999999991,169.0,8450.0
10,0,2021-05-07,2021-05-12,10,6,4,27.5,-17.0,60.0,1.9534648457258468,63.599999999999994,3180.0
11,0,2022-01-07,2022-01-13,13,8,5,27.450000000000017,-18.150000000000006,61.53846153846154,1.3642026578073085,53.399999999999984,2670.0
12,0,2021-10-08,2021-10-14,11,8,3,67.99999999999999,-18.849999999999994,72.72727272727273,2.72814091680815,184.79999999999998,9240.0
13,0,2021-01-08,2021-01-14,13,9,4,79.25,-20.449999999999996,69.23076923076923,2.289449112978524,172.9,8645.0
14,0,2021-07-09,2021-07-15,12,7,5,42.0,-21.0,58.333333333333336,1.9498984427894377,91.24999999999999,4562.5
15,0,2021-09-03,2021-09-16,23,14,9,75.50000000000001,-16.549999999999997,60.86956521739131,2.7902323580034416,277.25,13862.5
16,0,2021-04-09,2021-04-15,12,8,4,77.6,-17.599999999999994,66.66666666666666,2.056932966023876,169.55000000000007,8477.5
17,0,2021-12-10,2021-12-16,20,14,6,31.900000000000006,-27.200000000000003,70.0,0.7786793267155803,67.59999999999995,3380.0
18,0,2021-06-11,2021-06-17,14,10,4,37.95,-8.099999999999994,71.42857142857143,2.345856353591163,88.05000000000003,4402.5
19,0,2021-02-12,2021-02-18,14,9,5,77.0,-13.300000000000011,64.28571428571429,3.841623036649214,225.95,11297.5
20,0,2021-11-12,2021-11-18,16,11,5,93.35000000000001,-26.699999999999996,68.75,2.458354855371902,310.34999999999997,15517.5
21,0,2022-02-11,2022-02-17,16,13,3,296.70000000000005,-24.75,81.25,2.832528807225163,556.9500000000002,27847.5
22,0,2021-03-12,2021-03-18,11,9,2,255.3,-21.900000000000006,81.81818181818183,3.6860670194003515,638.3,31915.0
23,0,2021-05-14,2021-05-20,14,7,7,62.400000000000006,-15.0,50.0,4.227450980392158,164.60000000000002,8230.0
24,0,2021-01-15,2021-01-21,14,9,5,116.55000000000001,-19.44999999999999,64.28571428571429,4.170643035673711,318.19999999999993,15910.0
25,0,2022-01-14,2022-01-20,12,11,1,105.95,-23.75,91.66666666666666,1.5751196172248803,387.74999999999994,19387.5
26,0,2021-10-18,2021-10-21,14,8,6,67.30000000000001,-29.549999999999997,57.14285714285714,1.7948717948717943,105.94999999999996,5297.5
27,0,2021-04-16,2021-04-22,9,5,4,27.549999999999997,-17.0,55.55555555555556,1.4707547169811315,35.549999999999976,1777.5
28,0,2021-07-16,2021-07-22,10,6,4,49.05,-16.150000000000006,60.0,3.1098644226273957,130.64999999999998,6532.5
29,0,2021-12-17,2021-12-23,12,10,2,130.89999999999998,-14.950000000000017,83.33333333333334,2.5850187265917586,318.3999999999999,15920.0
30,0,2021-03-18,2021-03-18,1,1,0,265.8,0.0,100.0,265.8,265.8,13290.0
31,0,2021-05-28,2021-06-03,14,9,5,66.15,-18.049999999999997,64.28571428571429,1.4112861703223154,83.10000000000001,4155.0
32,0,2021-06-25,2021-07-01,14,10,4,52.55,-8.749999999999993,71.42857142857143,2.6426103646833012,146.05,7302.5
33,0,2022-02-25,2022-03-03,11,7,4,166.75,-35.099999999999994,63.63636363636363,1.602093384577644,157.55000000000007,7877.5
34,0,2021-11-26,2021-12-02,15,10,5,110.30000000000001,-24.049999999999983,66.66666666666666,2.26117496807152,275.79999999999995,13790.0
35,0,2021-02-26,2021-03-04,15,9,6,56.10000000000001,-25.19999999999999,60.0,2.191165821868213,157.90000000000003,7895.0
36,0,2021-03-25,2021-04-01,11,7,4,80.75,-28.200000000000017,63.63636363636363,2.6208667736757594,159.59999999999994,7980.0
37,0,2021-08-27,2021-09-02,10,8,2,57.349999999999994,-3.450000000000003,80.0,7.810661764705885,205.65000000000003,10282.5
38,0,2022-01-28,2022-02-03,13,10,3,165.39999999999998,-21.0,76.92307692307693,2.43937753721245,263.5,13175.0
39,0,2021-01-29,2021-02-04,13,7,6,299.7,-9.649999999999991,53.84615384615385,17.589490968801307,509.5,25475.0
40,0,2021-10-29,2021-11-03,11,6,5,117.35000000000002,-12.550000000000004,54.54545454545454,7.485472794506077,251.85000000000005,12592.5
41,0,2021-04-30,2021-05-06,11,7,4,52.54999999999998,-14.400000000000006,63.63636363636363,3.3414354505847275,151.0,7550.0
