,index,Start,End,TotalTrades,Winers,Loosers,MaxProfit,MaxLoss,WinRatio,ProfitLossRatio,TotalProfitPoints,TotalProfitsRs
0,0,2021-10-01,2021-10-07,13,8,5,91.65,-16.10000000000001,61.53846153846154,3.453377598152425,195.95,9797.5
1,0,2021-07-02,2021-07-08,13,8,5,71.4,-8.550000000000011,61.53846153846154,3.575487012987013,145.40000000000003,7270.0
2,0,2021-09-03,2021-09-09,15,8,7,48.45000000000002,-16.549999999999997,53.333333333333336,2.4187853107344623,109.30000000000003,5465.0
3,0,2021-12-03,2021-12-09,10,7,3,102.25,-13.899999999999991,70.0,4.416118421052633,282.85,14142.5
4,0,2021-06-04,2021-06-10,17,13,4,87.80000000000001,-5.75,76.47058823529412,4.109090909090911,203.85000000000002,10192.5
5,0,2021-02-05,2021-02-11,10,7,3,92.05,-1.8499999999999943,70.0,32.496240601503985,213.25000000000003,10662.5
6,0,2022-02-04,2022-02-10,16,9,7,89.15,-23.450000000000003,56.25,2.912247474747474,241.49999999999997,12075.0
7,0,2021-11-08,2021-11-11,10,5,5,61.89999999999998,-13.449999999999989,50.0,3.245579567779961,114.29999999999998,5715.0
8,0,2021-04-05,2021-04-08,10,7,3,70.94999999999999,-24.450000000000003,70.0,2.7071029529130084,142.75,7137.5
9,0,2021-08-06,2021-08-12,12,8,4,51.45,-15.950000000000003,66.66666666666666,2.1105491329479764,111.45,5572.5
10,0,2021-05-07,2021-05-12,9,6,3,27.5,-9.0,66.66666666666666,3.0266457680250776,80.6,4030.0
11,0,2022-01-07,2022-01-13,13,8,5,27.450000000000017,-23.65,61.53846153846154,1.0674826689774692,40.84999999999998,2042.5
12,0,2021-10-08,2021-10-14,10,8,2,42.89999999999999,-10.299999999999983,80.0,3.916273584905662,155.44999999999996,7772.5
13,0,2021-01-08,2021-01-14,10,8,2,79.25,-8.400000000000006,80.0,4.91169724770642,203.25000000000003,10162.5
14,0,2021-07-09,2021-07-15,13,6,7,42.0,-21.0,46.15384615384615,2.317054263565891,63.59999999999998,3180.0
15,0,2021-09-03,2021-09-16,22,13,9,75.50000000000001,-16.549999999999997,59.09090909090909,3.2171405237098654,274.80000000000007,13740.0
16,0,2021-04-09,2021-04-15,12,7,5,77.6,-17.599999999999994,58.333333333333336,2.8168202764976975,164.25000000000006,8212.5
17,0,2021-12-10,2021-12-16,20,13,7,31.900000000000006,-27.700000000000003,65.0,0.8473440599515095,50.049999999999955,2502.5
18,0,2021-06-11,2021-06-17,14,10,4,37.95,-8.099999999999994,71.42857142857143,2.4198895027624334,91.40000000000002,4570.0
19,0,2021-02-12,2021-02-18,13,9,4,77.0,-17.64999999999999,69.23076923076923,2.8758496324039404,219.10000000000002,10955.0
20,0,2021-11-12,2021-11-18,16,11,5,98.65,-26.699999999999996,68.75,2.636773444436856,319.50000000000006,15975.0
21,0,2022-02-11,2022-02-17,14,13,1,296.70000000000005,-4.799999999999997,92.85714285714286,9.717147435897443,601.5500000000002,30077.5
22,0,2021-03-12,2021-03-18,10,9,1,255.3,-19.05000000000001,90.0,3.8955963837853584,648.8499999999999,32442.5
23,0,2021-05-14,2021-05-20,13,6,7,61.60000000000002,-15.0,46.15384615384615,4.861111111111113,161.50000000000003,8075.0
24,0,2021-01-15,2021-01-21,13,9,4,102.19999999999999,-19.44999999999999,69.23076923076923,3.4219348659003836,310.85,15542.5
25,0,2022-01-14,2022-01-20,11,11,0,105.95,0.0,100.0,36.918181818181814,406.09999999999997,20305.0
26,0,2021-10-18,2021-10-21,14,8,6,67.30000000000001,-31.799999999999997,57.14285714285714,1.7432950191570875,103.69999999999996,5185.0
27,0,2021-04-16,2021-04-22,9,5,4,27.549999999999997,-17.400000000000006,55.55555555555556,1.4570093457943918,35.14999999999997,1757.5
28,0,2021-07-16,2021-07-22,10,6,4,49.05,-16.150000000000006,60.0,3.124877089478859,125.0,6250.0
29,0,2021-12-17,2021-12-23,12,9,3,138.24999999999997,-19.5,75.0,2.223244717109746,277.24999999999994,13862.5
30,0,2021-03-18,2021-03-18,1,1,0,265.8,0.0,100.0,265.8,265.8,13290.0
31,0,2021-05-28,2021-06-03,12,8,4,66.15,-18.049999999999997,66.66666666666666,1.614197530864198,90.25000000000001,4512.5
32,0,2021-06-25,2021-07-01,14,10,4,52.55,-8.749999999999993,71.42857142857143,2.581957773512476,142.10000000000002,7105.0
33,0,2022-02-25,2022-03-03,10,7,3,166.75,-29.150000000000006,70.0,2.008749145591252,192.65000000000003,9632.5
34,0,2021-11-26,2021-12-02,15,10,5,110.30000000000001,-24.049999999999983,66.66666666666666,2.589883551673945,287.15,14357.5
35,0,2021-02-26,2021-03-04,15,9,6,56.10000000000001,-25.19999999999999,60.0,1.7362318840579718,129.15000000000003,6457.5
36,0,2021-03-25,2021-04-01,11,7,4,80.75,-28.200000000000017,63.63636363636363,2.505296950240768,150.59999999999994,7530.0
37,0,2021-08-27,2021-09-02,10,7,3,57.349999999999994,-4.0,70.0,7.450396825396828,176.95,8847.5
38,0,2022-01-28,2022-02-03,13,10,3,165.39999999999998,-21.0,76.92307692307693,2.494993234100136,270.35,13517.5
39,0,2021-01-29,2021-02-04,12,7,5,299.7,-14.549999999999983,58.333333333333336,10.044876589379204,498.9999999999999,24950.0
40,0,2021-10-29,2021-11-03,11,6,5,117.35000000000002,-10.599999999999994,54.54545454545454,7.988810365135455,243.00000000000003,12150.0
41,0,2021-04-30,2021-05-06,10,7,3,52.54999999999998,-14.400000000000006,70.0,2.849061522419186,154.75,7737.5
