,index,Start,End,TotalTrades,Winers,Loosers,MaxProfit,MaxLoss,WinRatio,ProfitLossRatio,TotalProfitPoints,TotalProfitsRs
0,0,2021-10-01,2021-10-07,13,9,4,91.65,-10.600000000000009,69.23076923076923,4.725063688026652,273.05,13652.5
1,0,2021-07-02,2021-07-08,12,9,3,71.4,-7.5,75.0,5.277310924369751,176.5,8825.0
2,0,2021-09-03,2021-09-09,18,9,9,48.45000000000002,-16.549999999999997,50.0,2.270444301352221,98.65000000000002,4932.5
3,0,2021-12-03,2021-12-09,8,8,0,104.29999999999998,0.0,100.0,54.849999999999994,438.79999999999995,21940.0
4,0,2021-06-04,2021-06-10,15,13,2,87.80000000000001,-5.75,86.66666666666667,3.6248185776487656,239.15,11957.5
5,0,2021-02-05,2021-02-11,12,8,4,92.05,-35.849999999999994,66.66666666666666,2.1779170684667317,174.00000000000003,8700.0
6,0,2022-02-04,2022-02-10,17,9,8,142.7,-23.450000000000003,52.94117647058824,4.213971397139711,302.25,15112.5
7,0,2021-11-08,2021-11-11,10,5,5,75.10000000000001,-14.649999999999991,50.0,3.7178502879078703,141.59999999999997,7080.0
8,0,2021-04-05,2021-04-08,10,7,3,70.94999999999999,-8.149999999999999,70.0,8.4373730534868,197.15,9857.5
9,0,2021-08-06,2021-08-12,13,8,5,51.45,-15.599999999999994,61.53846153846154,4.168081494057724,166.95000000000002,8347.5
10,0,2021-05-07,2021-05-12,11,6,5,44.39999999999999,-10.100000000000009,54.54545454545454,3.7913279132791304,109.14999999999998,5457.5
11,0,2022-01-07,2022-01-13,16,8,8,27.450000000000017,-24.949999999999996,50.0,1.0688720173535788,6.34999999999998,317.5
12,0,2021-10-08,2021-10-14,11,8,3,95.44999999999999,-10.299999999999983,72.72727272727273,6.3462460063897765,249.19999999999996,12460.0
13,0,2021-01-08,2021-01-14,13,10,3,79.25,-3.5999999999999943,76.92307692307693,9.847651006711407,237.1,11855.0
14,0,2021-07-09,2021-07-15,14,8,6,42.0,-21.0,57.14285714285714,1.6891163793103445,87.14999999999998,4357.5
15,0,2021-09-03,2021-09-16,27,16,11,75.50000000000001,-16.549999999999997,59.25925925925925,2.691298342541436,290.15000000000003,14507.5
16,0,2021-04-09,2021-04-15,14,9,5,77.6,-22.5,64.28571428571429,1.8666522272760095,181.60000000000008,9080.0
17,0,2021-12-10,2021-12-16,22,14,8,31.900000000000006,-33.599999999999994,63.63636363636363,0.7817896389324959,43.549999999999955,2177.5
18,0,2021-06-11,2021-06-17,17,11,6,47.45,-16.349999999999994,64.70588235294117,1.8758893280632423,112.20000000000003,5610.0
19,0,2021-02-12,2021-02-18,14,11,3,77.0,-13.300000000000011,78.57142857142857,3.390827922077923,256.1,12805.0
20,0,2021-11-12,2021-11-18,18,12,6,148.25,-26.699999999999996,66.66666666666666,2.7894900497512443,368.1499999999999,18407.5
21,0,2022-02-11,2022-02-17,17,12,5,296.70000000000005,-41.69999999999999,70.58823529411765,2.6833043141806936,468.65,23432.5
22,0,2021-03-12,2021-03-18,10,10,0,255.3,0.0,100.0,74.475,744.75,37237.5
23,0,2021-05-14,2021-05-20,16,7,9,70.0,-23.099999999999994,43.75,3.237066919791173,137.05,6852.5
24,0,2021-01-15,2021-01-21,14,10,4,102.19999999999999,-19.44999999999999,71.42857142857143,3.3797413793103446,345.65,17282.5
25,0,2022-01-14,2022-01-20,15,11,4,105.95,-14.600000000000001,73.33333333333333,3.802621762762441,403.34999999999997,20167.5
26,0,2021-10-18,2021-10-21,16,8,8,67.30000000000001,-28.200000000000003,50.0,1.6293643688451203,70.29999999999995,3515.0
27,0,2021-04-16,2021-04-22,10,5,5,27.549999999999997,-16.05000000000001,50.0,2.246397694524494,43.249999999999964,2162.5
28,0,2021-07-16,2021-07-22,10,6,4,49.05,-16.150000000000006,60.0,3.2508960573476697,144.2,7210.0
29,0,2021-12-17,2021-12-23,13,10,3,191.0,-20.299999999999997,76.92307692307693,3.135322195704057,395.99999999999994,19800.0
30,0,2021-03-18,2021-03-18,1,1,0,265.8,0.0,100.0,265.8,265.8,13290.0
31,0,2021-05-28,2021-06-03,15,12,3,66.15,-18.049999999999997,80.0,1.2034739454094294,153.7,7685.0
32,0,2021-06-25,2021-07-01,17,11,6,52.55,-8.749999999999993,64.70588235294117,2.502505368647101,136.70000000000002,6835.0
33,0,2022-02-25,2022-03-03,11,7,4,166.75,-29.150000000000006,63.63636363636363,2.338226518677648,185.05000000000007,9252.5
34,0,2021-11-26,2021-12-02,17,11,6,110.30000000000001,-51.94999999999999,64.70588235294117,1.843029139766184,309.85,15492.5
35,0,2021-02-26,2021-03-04,17,11,6,56.10000000000001,-25.19999999999999,64.70588235294117,1.806174957118354,183.75000000000006,9187.5
36,0,2021-03-25,2021-04-01,14,9,5,80.75,-28.200000000000017,64.28571428571429,2.5530864197530843,202.24999999999994,10112.5
37,0,2021-08-27,2021-09-02,11,8,3,57.349999999999994,-15.899999999999991,72.72727272727273,4.082048458149782,224.40000000000003,11220.0
38,0,2022-01-28,2022-02-03,13,10,3,165.39999999999998,-21.0,76.92307692307693,3.0492220650636477,323.94999999999993,16197.5
39,0,2021-01-29,2021-02-04,14,9,5,299.7,-9.649999999999991,64.28571428571429,13.541529695375841,592.55,29627.5
40,0,2021-10-29,2021-11-03,11,6,5,117.35000000000002,-16.0,54.54545454545454,5.379650721336372,239.50000000000003,11975.0
41,0,2021-04-30,2021-05-06,12,7,5,52.54999999999998,-29.299999999999997,58.333333333333336,1.8653353814644131,112.39999999999998,5620.0
